item,dmarket_price,market_csgo_current,highest_autobuy,average_sell_price,steam_lowest_price,steam_avg_price
SG 553  Danger Close (Minimal Wear),$0.10,0.333,0.215,"0.333
Average price",0.16,0.15
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
StatTrak™ G3SG1  Hunter (Field-Tested),$0.09,0.295,0.062,"0.123
Average price",0.14,0.14
StatTrak™ G3SG1  Orange Crash (Field-Tested),$0.09,0.13,0.104,"0.225
Average price",0.15,0.14
R8 Revolver  Night (Battle-Scarred),$0.10,0.234,0.066,"0.164
Average price",0.13,0.12
R8 Revolver  Night (Battle-Scarred),$0.10,0.234,0.066,"0.164
Average price",0.13,0.12
G3SG1  Jungle Dashed (Factory New),$0.10,0.123,0.095,"0.158
Average price",0.15,0.14
PP-Bizon  Sand Dashed (Factory New),$0.10,0.167,0.087,"0.233
Average price",0.14,0.07
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.11,0.18,0.078,"0.25
Average price",0.15,0.15
Souvenir MP5-SD  Lab Rats (Factory New),$0.12,0.329,0.164,"0.52
Average price",0.20,0.21
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.12,0.18,0.078,"0.25
Average price",0.15,0.15
Souvenir SCAR-20  Sand Mesh (Field-Tested),$0.12,0.18,0.078,"0.25
Average price",0.15,0.15
PP-Bizon  Candy Apple (Factory New),$0.11,0.277,No data,"0.112
1 order",0.17,0.16
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12,0.268,0.115,"0.439
Average price",0.19,0.19
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12,0.268,0.115,"0.439
Average price",0.19,0.19
PP-Bizon  Night Ops (Factory New),$0.11,0.24,No data,"0.11
1 order",0.15,0.16
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12,0.268,0.115,"0.439
Average price",0.19,0.19
StatTrak™ MAC-10  Classic Crate (Field-Tested),$0.11,0.209,0.097,"0.22
Average price",0.15,0.17
StatTrak™ MAC-10  Oceanic (Field-Tested),$0.12,0.268,0.115,"0.439
Average price",0.19,0.19
FAMAS  Faulty Wiring (Well-Worn),$0.12,0.168,0.031,"0.169
Average price",0.15,0.15
SSG 08  Necropos (Battle-Scarred),$0.11,1.2,0.473,"0.57
Average price",0.15,0.14
SSG 08  Necropos (Battle-Scarred),$0.11,1.2,0.473,"0.57
Average price",0.15,0.14
StatTrak™ MAC-10  Classic Crate (Field-Tested),$0.12,0.209,0.097,"0.22
Average price",0.15,0.17
StatTrak™ MP9  Modest Threat (Battle-Scarred),$0.11,0.277,0.086,"0.25
Average price",0.17,0.17
StatTrak™ SCAR-20  Jungle Slipstream (Field-Tested),$0.11,0.236,No data,"0.103
1 order",0.15,0.14
StatTrak™ MP9  Modest Threat (Battle-Scarred),$0.11,0.277,0.086,"0.25
Average price",0.17,0.17
StatTrak™ SG 553  Danger Close (Well-Worn),$0.14,0.25,0.131,"0.406
Average price",0.17,0.15
Nova  Army Sheen (Factory New),$0.13,0.185,0.132,"0.216
Average price",0.21,0.20
Nova  Army Sheen (Factory New),$0.13,0.185,0.132,"0.216
Average price",0.21,0.20
UMP-45  Oscillator (Minimal Wear),$0.13,0.61,No data,"0.38
1 order",0.20,0.20
UMP-45  Oscillator (Minimal Wear),$0.13,0.61,No data,"0.38
1 order",0.20,0.20
UMP-45  Oscillator (Minimal Wear),$0.13,0.61,No data,"0.38
1 order",0.20,0.20
Glock-18  Clear Polymer (Minimal Wear),$0.14,0.832,0.6,"0.906
Average price",0.21,0.19
Glock-18  Clear Polymer (Minimal Wear),$0.14,0.832,0.6,"0.906
Average price",0.21,0.19
SG 553  Aloha (Factory New),$0.13,0.73,0.539,"0.676
Average price",0.21,0.20
FAMAS  Survivor Z (Field-Tested),$0.14,0.53,0.456,"0.629
Average price",0.20,0.20
FAMAS  Survivor Z (Field-Tested),$0.14,0.53,0.456,"0.629
Average price",0.20,0.20
FAMAS  Survivor Z (Field-Tested),$0.14,0.53,0.456,"0.629
Average price",0.20,0.20
P250  Contaminant (Well-Worn),$0.13,0.85,0.513,"0.613
Average price",0.18,0.18
P250  Contaminant (Well-Worn),$0.13,0.85,0.513,"0.613
Average price",0.18,0.18
Galil AR  Akoben (Field-Tested),$0.13,0.473,No data,"0.213
1 order",0.19,0.20
